Animation,Full,Compressed,Tokens,FullDEG,CompressedDEG,TokensDEG
1,81.5,86.44,77.79,100,98.04,87.09
2,97.49,83.19,81.68,84.07,81.71,85.62
3,45.17,92.66,72.03,93.34,72.73,80.01
4,73.38,92.57,77.79,92.15,90.77,70.75
5,50,86.93,65.32,65.06,83.35,83.33
6,50.36,81.62,90.41,89.28,85.62,93.19
7,81.07,87.67,78.07,89.93,80,80.71
8,94.7,68.02,77.62,100,85.86,58.62
9,66.47,94.43,88.43,92.6,82.84,93.11
10,84.08,86.85,87.49,92.46,93.33,91.43
11,89.52,92.21,90.4,100,90.38,90.4
12,77.57,88.47,90.36,80.84,99.92,93.13
13,82.95,87.07,86.59,87.83,86.27,96.01
14,90.4,90.4,90.78,100,88,97.88
15,88.21,63.05,90.4,96.72,89.02,90.31
16,87.79,83.42,76.11,92.02,89.22,89.99
17,85.5,90.4,84.86,89.22,89.54,89.01
18,69.85,82.31,87.83,84.99,86.19,75.25
19,99.93,90.4,90.4,93.35,90.4,90.4
20,96.86,89.39,84.86,87.95,90.33,80.54
21,83.36,90.39,85,100,90.29,94.39
22,87.22,90.4,90.4,82.53,88.73,89.41
23,77.55,86.38,81.36,50.12,82.7,94.36
24,91.27,90.4,84.68,87.51,93.35,100
25,86.34,78.26,86.14,82.73,86.59,84.12
26,84,79.05,82.71,100,87.52,89.34
27,86.72,76.91,77.88,90.97,87.48,95.19
average,81.0837037,85.52925926,83.60703704,89.09888889,87.78444444,87.54037037
